Entry,Cat,Film,Director,Leading actors,Year of cinema release,Oscars won,IMDB link,Guardian film page,Country
1,Comedy,Annie Hall,Woody Allen,"Carol Kane, Diane Keaton, Paul Simon, Tony Roberts, Woody Allen",1977,4,http://www.imdb.com/title/tt0075686/,http://www.guardian.co.uk/film/movie/36314/annie.hall,USA
2,Comedy,Borat,Larry Charles,"Ken Davitian, Pamela Anderson , Sacha Baron Cohen",2006,,http://www.imdb.com/title/tt0443453/,http://www.guardian.co.uk/film/movie/114557/borat,USA
3,Comedy,Some Like it Hot,Billy Wilder,"George Raft, Jack Lemmon, Joe E Brown, Marilyn Monroe, Tony Curtis",1959,1,http://www.imdb.com/title/tt0053291/,http://www.guardian.co.uk/film/movie/36223/some.like.it.hot,USA
4,Comedy,Team America,Trey Parker,"Kristen Miller, Matt Stone, Trey Parker",2004,,http://www.imdb.com/title/tt0372588/,http://www.guardian.co.uk/film/movie/103000/team.america,USA
5,Comedy,Dr Strangelove,Stanley Kubrick,"George C Scott, Peter Sellers, Sterling Hayden",1964,,http://www.imdb.com/title/tt0057012/,http://www.guardian.co.uk/film/movie/76390/dr-strangelove,UK
5,Comedy,The Ladykillers,Alexander Mackendrick,"Alec Guinness, Cecil Parker, Herbert Lom, Peter Sellers",1955,,http://www.imdb.com/title/tt0048281/,http://www.guardian.co.uk/film/movie/36206/ladykillers,UK
7,Comedy,Duck Soup,Leo McCarey,"Chico Marx, Groucho Marx, Harpo Marx, Margaret Dumont, The Marx Brothers, Zeppo Marx",1933,,http://www.imdb.com/title/tt0023969/,http://www.guardian.co.uk/film/movie/36133/duck.soup,USA
7,Comedy,Rushmore,Wes Anderson," Bill Murray, Brian Cox, Jason Schwartzman, Olivia Williams",1998,,http://www.imdb.com/title/tt0128445/,http://www.guardian.co.uk/film/movie/79577/rushmore,USA
9,Comedy,Kind Hearts & Coronets,Robert Hamer,"Alec Guinness, Dennis Price, Joan Greenwood",1949,,http://www.imdb.com/title/tt0041546/,http://www.guardian.co.uk/film/movie/36180/kind-hearts-and-coronets,UK
10,Comedy,Monty Python’s Life of Brian,Terry Jones,"Eric Idle, Graham Chapman, John Cleese, Michael Palin, Terry Gilliam, Terry Jones",1979,,http://www.imdb.com/title/tt0079470/,http://www.guardian.co.uk/film/movie/78168/monty-python-s-life-of-brian,UK
11,Comedy,Airplane!,"Jim Abrahams, David Zucker and Jerry Zucker","Julie Hagerty, Leslie Nielsen, Robert Hays",1980,,http://www.imdb.com/title/tt0080339/,http://www.guardian.co.uk/film/movie/83228,USA
12,Comedy,Election,Alexander Payne,"Chris Klein, Matthew Broderick, Reese Witherspoon",1999,,http://www.imdb.com/title/tt0126886/,http://www.guardian.co.uk/film/movie/79657/election,USA
12,Comedy,His Girl Friday,Howard Hawkes,"Cary Grant, Gene Lockhart, Ralph Bellamy, Rosalind Russell",1940,,http://www.imdb.com/title/tt0032599/,http://www.guardian.co.uk/film/movie/76369/his-girl-friday,USA
12,Comedy,The Big Lebowski,Joel Coen,"Jeff Bridges, John Goodman, Julianne Moore, Steve Buscemi",1998,,http://www.imdb.com/title/tt0118715/,http://www.guardian.co.uk/film/movie/77069/big.lebowski,USA
15,Comedy,This Is Spinal Tap,Rob Reiner," Christopher Guest, Harry Shearer, Michael McKean, Rob Reiner",1984,,http://www.imdb.com/title/tt0088258/,http://www.guardian.co.uk/film/movie/81384/this.is.spinal.tap,USA
16,Comedy,Bringing Up Baby,Howard Hawkes,"Cary Grant, Katharine Hepburn, Katherine Hepburn",1938,,http://www.imdb.com/title/tt0029947/,http://www.guardian.co.uk/film/movie/36143/bringing-up-baby,USA
17,Comedy,There’s Something About Mary,Peter & Bob Farrelly,"Ben Stiller, Cameron Diaz, Lee Evans, Matt Dillon",1998,,http://www.imdb.com/title/tt0129387/,http://www.guardian.co.uk/film/movie/34359/there.s.something.about.mary,USA
18,Comedy,Dazed and Confused,Richard Linklater,"Adam Goldberg, Jason London, Joey Lauren Adams, Joey Lauren Adams, Milla Jovovich, Rory Cochrane, Shawn Andrew",1993,,http://www.imdb.com/title/tt0106677/,http://www.guardian.co.uk/film/movie/49047/dazed-and-confused,USA
18,Comedy,MASH,Robert Altman,"Donald Sutherland, Elliott Gould, Sally Kellerman",1970,1,http://www.imdb.com/title/tt0066026/,http://www.guardian.co.uk/film/movie/84547,USA
20,Comedy,Groundhog Day,Harold Ramis,"Andie MacDowell, Bill Murray, Chris Elliott, Stephen Tobolowsky",1993,,http://www.imdb.com/title/tt0107048/,http://www.guardian.co.uk/film/movie/79383/groundhog-day,USA
21,Comedy,Clueless,Amy Heckerling,"Alicia Silverstone, Dan Hedaya, Stacey Dash",1995,,http://www.imdb.com/title/tt0112697/,http://www.guardian.co.uk/film/movie/59257/clueless,USA
22,Comedy,The Great Dictator,Charlie Chaplin,"Charlie Chaplin, Jack Oakie, Paulette Goddard",1940,,http://www.imdb.com/title/tt0032553/,http://www.guardian.co.uk/film/movie/96585/great.dictator,USA
23,Comedy,Clerks,Kevin Smith,"Brian O'Halloran, Jeff Anderson, Marilyn Ghigliotti",1994,,http://www.imdb.com/title/tt0109445/,http://www.guardian.co.uk/film/movie/53831/clerks,USA
24,Comedy,The Jerk,Carl Reiner,Steve Martin,1979,,http://www.imdb.com/title/tt0079367/,http://www.guardian.co.uk/film/movie/88834/jerk,USA
25,Comedy,Shaun of the Dead,Edgar Wright,"Dylan Moran, Kate Ashfield, Nick Frost, Simon Pegg",2004,,http://www.imdb.com/title/tt0365748/,http://www.guardian.co.uk/film/movie/99960/shaun.of.the.dead,UK
