Entry,Film,Director,Leading actors,Year of cinema release,No of Oscars won,IMDB link,Guardian film page,Country
1,Psycho,Alfred Hitchcock,"Anthony Perkins, Janet Leigh, Vera Miles",1960,,http://www.imdb.com/title/tt0054215/,http://www.guardian.co.uk/film/movie/34630/psycho,USA
2,Rosemary’s Baby,Roman Polanski,"John Cassavetes, Mia Farrow, Ruth Gordon",1968,1,http://www.imdb.com/title/tt0063522/,http://www.guardian.co.uk/film/movie/80947/rosemary-s-baby,USA
3,Don’t Look Now,Nicholas Roeg,"Donald Sutherland, Hilary Mason, Julie Christie",1973,,http://www.imdb.com/title/tt0069995/,http://www.guardian.co.uk/film/movie/35097/don.t.look.now,UK
4,The Wicker Man,Robin Hardy,"Britt Ekland, Christopher Lee, Edward Woodward",1973,,http://www.imdb.com/title/tt0070917/,http://www.guardian.co.uk/film/movie/36301/wicker.man,UK
5,The Shining,Stanley Kubrick,"Danny Lloyd, Jack Nicholson, Shelley Duval",1980,,http://www.imdb.com/title/tt0081505/,http://www.guardian.co.uk/film/movie/76626/shining,USA
6,The Exorcist,William Friedkin,"Ellen Burstyn, Linda Blair, Max von Sydow",1973,2,http://www.imdb.com/title/tt0070047/,http://www.guardian.co.uk/film/movie/86477/exorcist,USA
7,Nosferatu  (1922),FW Mernau,"Alexander Granach, Greta Schroder, Gustav von Wangenheim, Max Schreck",1922,,http://www.imdb.com/title/tt0013442/,http://www.guardian.co.uk/film/movie/75839/nosferatu,Germany
8,Let the Right One In,Tomas Alfredson," Henrik Dahl, Kare Hedebrant, Karin Bergquist, Lina Leandersson, Per Ragnar, Peter Carlberg",2008,,http://www.imdb.com/title/tt1139797/,http://www.guardian.co.uk/film/movie/125671/let-the-right-one-in,Sweden
9,Vampyr,Carl Theodor Dreyer,"Henriette Gérard, Henriette Gerard, Julian West, Sybille Schmitz",1932,,http://www.imdb.com/title/tt0023649/,http://www.guardian.co.uk/film/movie/80562/vampyr,Germany
10,Peeping Tom,Michael Powell,"Anna Massey, Carl Boehm, Esmond Knight, Karl Bohm, Maxine Audley, Moira Shearer",1960,,http://www.imdb.com/title/tt0054167/,http://www.guardian.co.uk/film/movie/36228/peeping-tom,UK
11,The Innocents,Jack Clayton,"Clytie Jessop, Deborah Kerr, Michael Redgrave, Peter Wyngarde",1961,,http://www.imdb.com/title/tt0055018/,http://www.guardian.co.uk/film/movie/77279/innocents,USA
12,Ringu,Hideo Nakata,"Nanako Matsushima, Hiroyuki Sanada,  Rikiya Otaka",1998,,http://www.imdb.com/title/tt0178868/,http://www.guardian.co.uk/film/movie/121191/ringu,Japan
13,The Haunting,Robert Wise,"Claire Bloom, Julie Harris, Richard Johnson",1963,,http://www.imdb.com/title/tt0057129/,http://www.guardian.co.uk/film/movie/99697/haunting,USA
14,Texas Chainsaw Massacre,Tobe Hooper," Edwin Neal, Jim Siedow, Marilyn Burns, Paul A Partain",1974,,http://www.imdb.com/title/tt0072271/,http://www.guardian.co.uk/film/movie/82763/texas-chainsaw-massacre,USA
15,Dead of Night,"Alberto Cavalcanti, Charles Crichton","Googie Withers, Mervyn Johns, Michael Redgrave",1945,,http://www.imdb.com/title/tt0037635/,http://www.guardian.co.uk/film/movie/79561/dead.of.night,UK
16,The Cabinet of Dr Caligari,Robert Wiene,"Conrad Veidt, Lil Dagover, Werner Krauss",1920,,http://www.imdb.com/title/tt0010323/,http://www.guardian.co.uk/film/movie/77300/cabinet-of-dr-caligari,Germany
17,Halloween,John Carpenter,"Donald Pleasance, Donald Pleasence, Jamie Lee Curtis, Nancy Loomis, Tony Moran",1978,,http://www.imdb.com/title/tt0077651/,http://www.guardian.co.uk/film/movie/104810/halloween,USA
18,Bride of Frankenstein,James Whale,"Boris Karloff, Colin Clive, Elsa Lanchester",1935,,http://www.imdb.com/title/tt0026138/,http://www.guardian.co.uk/film/movie/34577/bride-of-frankenstein,USA
19,Les Diaboliques,Henri-Georges Clouzot,"Paul Meurisse, Simone Signoret, Vera Clouzot",1955,,http://www.imdb.com/title/tt0046911/,http://www.guardian.co.uk/film/movie/75862/diaboliques,France
20,Audition,Miike Takashi,"Eihi Shiina, Ishibashi Renji, Ishibashi Ryo, Matsuda Miyuki, Renji Ishibashi, Ryo Ishibashi, Shiina Eihi",1999,,http://www.imdb.com/title/tt0235198/,http://www.guardian.co.uk/film/movie/84815/audition,Korea
20,Dracula   (1958),Terence Fisher,"Christopher Lee, Melissa Stribling, Michael Gough, Peter Cushing",1958,,http://www.imdb.com/title/tt0051554/,http://www.guardian.co.uk/film/movie/36215/dracula,UK
22,The Blair Witch Project,"Daniel Myrick, E Sanchez","Heather Donahue, Joshua Leonard, Michael C. Williams",1999,,http://www.imdb.com/title/tt0185937/,http://www.guardian.co.uk/film/movie/79459/blair.witch.project,USA
23,Evil Dead/Evil Dead II,Sam Raimi,"Betsy Baker, Bruce Campbell, Ellen Sandweiss",1981/ 1987,,http://www.imdb.com/title/tt0083907/,http://www.guardian.co.uk/film/movie/34582/evil-dead,USA
24,Carrie,Brian De Palma,"John Travolta, Piper Laurie, Sissy Spacek",1976,,http://www.imdb.com/title/tt0074285/,http://www.guardian.co.uk/film/movie/81489/carrie,USA
25,Les Vampires (1915),Louis Feuillade,"Edouard Mathe, Marcel Levesque",1915,,http://www.imdb.com/title/tt0006206/,http://www.guardian.co.uk/film/movie/117077/vampires,France
