Entry,Film,Director,Leading actors,Year of cinema release,No of Oscars won,IMDB link,Guardian film page,Country
1,2001,Stanley Kubrick,"Daniel Richter, Gary Lockwood, Keir Dullea, William Sylvester",1968,1,http://www.imdb.com/title/tt0062622/,http://www.guardian.co.uk/film/movie/36269/2001,USA
2,Metropolis,Fritz Lang,"Alfred Abel, Brigitte Helm, Gustav Frohlich, Gustav Fruhlich",1927,,http://www.imdb.com/title/tt0017136/,http://www.guardian.co.uk/film/movie/75782/metropolis,Germany
3,Blade Runner,Ridley Scott,"Harrison Ford, Rutger Hauer, Sean Young",1982,,http://www.imdb.com/title/tt0083658/,http://www.guardian.co.uk/film/movie/76627/blade-runner,USA
4,Alien,Ridley Scott,"Ian Holm, John Hurt, Sigourney Weaver, Tom Skerritt",1979,1,http://www.imdb.com/title/tt0078748/,http://www.guardian.co.uk/film/movie/75860/alien,USA
5,The Wizard of Oz,Victor Fleming,"Bert Lahr, Frank Morgan, Jack Haley, Judy Garland, Ray Bolger",1939,2,http://www.imdb.com/title/tt0032138/,http://www.guardian.co.uk/film/movie/36148/wizard.of.oz,USA
6,ET,Steven Spielberg,"Dee Wallace, Drew Barrymore, Henry Thomas, Peter Coyote",1982,4,http://www.imdb.com/title/tt0083866/,http://www.guardian.co.uk/film/movie/92910/e.t.the.extra-terrestrial,USA
6,Solaris, Andrei Tarkovsky,"Donatas Banionis, Juri Jarvet, Nataly Bondarchuk, Natalya Bondarchuk",1972,,http://www.imdb.com/title/tt0069293/,http://www.guardian.co.uk/film/movie/76558/solaris,USA
8,Spirited Away,Hayao Miyazaki,"Daveigh Chase, Jason Marsden, Jason Marsdon, Mari Natsuki, Miyu Irino, Rumi Hiragi, Suzanne Pleshette",2001,1,http://www.imdb.com/title/tt0245429/,http://www.guardian.co.uk/film/movie/96263/spirited.away,Japan
9,Star Wars  (1977),George Lucas,"Alec Guinness, Carrie Fisher, David Prowse, Harrison Ford, Mark Hamill, Peter Cushing, Peter Mayhew",1977,6,http://www.imdb.com/title/tt0076759/,http://www.guardian.co.uk/film/movie/36316/star.wars,USA
10,Close Encounters,Steven Spielberg,"Melinda Dillon, Richard Dreyfuss",1977,1,http://www.imdb.com/title/tt0075860/,http://www.guardian.co.uk/film/movie/36315/close-encounters-of-the-third-kind,USA
10,King Kong,"Ernest B Schoedsack, Merian C Cooper","Bruce Cabot, Ernest B Schoedsack, Fay Wray, Frank Reicher, James Flavin, John Armstrong, Noble Jhonson, Robert Armstrong",1933,,http://www.imdb.com/title/tt0024216/,http://www.guardian.co.uk/film/movie/36134/king.kong,USA
12,Terminator/Terminator 2,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Michael Biehn",1984/1991,4 altogether,http://www.imdb.com/title/tt0088247/,http://www.guardian.co.uk/film/movie/88018/terminator,USA
13,The Matrix,Andy & Larry Wachowski,"Carrie-Anne Moss, Keanu Reeves, Laurence Fishburne",1999,4,http://www.imdb.com/title/tt0133093/,http://www.guardian.co.uk/film/movie/77528/matrix,USA
14,Alphaville,Jean Luc-Godard,"Anna Karina, Eddie Constantine",1965,,http://www.imdb.com/title/tt0058898/,http://www.guardian.co.uk/film/movie/75764/alphaville,France
15,Back to the Future,Robert Zemeckis,"Christopher Lloyd, Crispin Glover, Lea Thompson, Michael J Fox, Michael J. Fox",1985,1,http://www.imdb.com/title/tt0088763/,http://www.guardian.co.uk/film/movie/78042/back-to-the-future,USA
16,Planet of the Apes,Franklin J Schaffner ,"Charlton Heston, Kim Hunter, Roddy McDowell",1968,1,http://www.imdb.com/title/tt0063442/,http://www.guardian.co.uk/film/movie/95819/planet-of-the-apes,USA
17,Brazil,Terry Gilliam,"Jonathan Pryce, Michael Palin, Robert De Niro",1985,,http://www.imdb.com/title/tt0088846/,http://www.guardian.co.uk/film/movie/79920/brazil,UK
18,The Lord of the Rings trilogy,Peter Jackson,"Cate Blanchett, Dominic Monaghan, Elijah Wood, Hugo Weaving, John Rhys-Davies, Liv Tyler, Miranda Otto, Orlando Bloom, Sean Astin, Sir Ian McKellen, Viggo Mortensen, William Boyd",2001-2003,17 altogether,http://www.imdb.com/title/tt0167260/,http://www.guardian.co.uk/film/movie/92716/lord.of.the.rings,New Zealand
19,Dark Star,John Carpenter,"Brian Narelle, Dan O'Bannon, Dre Pahich",1974,,http://www.imdb.com/title/tt0069945/,http://www.guardian.co.uk/film/movie/77501/dark-star,USA
20,Day the Earth Stood Still,Robert Wise,"Hugh Marlowe, Lock Martin, Michael Rennie, Patricia Neal",1951,,http://www.imdb.com/title/tt0043456/,http://www.guardian.co.uk/film/movie/82253/day-the-earth-stood-still,USA
21,Edward Scissorhands,Tim Burton,"Dianne Wiest, Johnny Depp, Winona Ryder",1990,,http://www.imdb.com/title/tt0099487/,http://www.guardian.co.uk/film/movie/82335/edward.scissorhands,USA
